doc	n_opinions	min	max	average	sd	simplified	0	1	3	4	6	7	8	9	10	11	sign_conflict?
z00941_flashback-50386741	1	2	2	2.0	0.0	-1							2				
z01502_flashback-52046711	1	1	1	1.0	0.0	-1										1	
z00028_flashback-35316898	1	1	1	1.0	0.0	-1			1								
z01787_flashback-55956670	1	2	2	2.0	0.0	-1							2				
z00987_flashback-55052602	1	2	2	2.0	0.0	-1								2			
z00342_flashback-9018787	1	2	2	2.0	0.0	-1		2									
z02464_flashback-61636930	1	3	3	3.0	0.0	0									3		
z01836_flashback-63212461	1	3	3	3.0	0.0	0		3									
z02390_flashback-51050552	1	3	3	3.0	0.0	0							3				
z03543_flashback-55229391	1	3	3	3.0	0.0	0								3			
z01051_flashback-63066463	1	3	3	3.0	0.0	0									3		
www_aftonbladet_se_debatt_kronikorer_martinezpeleta_article12518713_ab	3	3	4	3.6666666666666665	0.4714045207910317	1		4		3						4	
z00982_www_aftonbladet_se_debatt_a_52jze_vi-maste-valja-ut-vilka-flyktingar-vi-tar-emot	1	4	4	4.0	0.0	1			4								
z01861_flashback-52985928	1	3	3	3.0	0.0	0									3		
z00790_www_aftonbladet_se_debatt_a_5Vzbvz_skamligt-att-leka-folja-john-med-sd-lofven	1	4	4	4.0	0.0	1									4		
z00147_flashback-3012695	1	2	2	2.0	0.0	-1					2						
z03319_www_aftonbladet_se_debatt_article10244614_ab	1	4	4	4.0	0.0	1									4		
z01840_flashback-63143186	1	3	3	3.0	0.0	0						3					
z00358_www_svd_se_oppna-for-fri-invandring--men-inte-nu	1	3	3	3.0	0.0	0									3		
z00466_www_svd_se_sd-dags-att-ovriga-partier-pratar-med-oss	1	2	2	2.0	0.0	-1									2		
z01672_www_aftonbladet_se_debatt_debattamnen_samhalle_article21376475_ab	1	4	4	4.0	0.0	1									4		
z03198_flashback-35866848	1	2	2	2.0	0.0	-1					2						
z03654_flashback-48140098	1	2	2	2.0	0.0	-1		2									
z03176_www_aftonbladet_se_debatt_a_BLOXe_vi-ar-redo-att-skapa-enklare-vagar-till-jobb	1	4	4	4.0	0.0	1										4	
z02664_www_aftonbladet_se_debatt_article10485140_ab	1	1	1	1.0	0.0	-1		1									
z03070_flashback-63101933	1	3	3	3.0	0.0	0			3								
flashback-55526311	5	2	3	2.4	0.4898979485566356	-1		3		2		3			2	2	
z00323_flashback-55043657	1	1	1	1.0	0.0	-1										1	
z01358_flashback-53376684	1	3	3	3.0	0.0	0										3	
z00091_flashback-46751753	1	3	3	3.0	0.0	0			3								
z02950_flashback-55701801	1	1	1	1.0	0.0	-1									1		
z01691_flashback-41242518	1	2	2	2.0	0.0	-1										2	
z03411_flashback-54554092	1	2	2	2.0	0.0	-1		2									
z02679_flashback-50294563	1	3	3	3.0	0.0	0								3			
z00900_flashback-7080349	8	1	2	1.875	0.33071891388307384	-1		2	2		2	2	2	2	2	1	
z00320_flashback-42987905	1	1	1	1.0	0.0	-1							1				
z03426_flashback-47167075	1	2	2	2.0	0.0	-1								2			
z00680_www_aftonbladet_se_debatt_article10329492_ab	1	4	4	4.0	0.0	1							4				
z00678_flashback-36538183	1	2	2	2.0	0.0	-1					2						
z00617_flashback-44710635	1	3	3	3.0	0.0	0							3				
z01219_flashback-40968823	1	3	3	3.0	0.0	0						3					
z01742_flashback-30016482	1	3	3	3.0	0.0	0							3				
z03018_flashback-4564437	1	2	2	2.0	0.0	-1					2						
z00751_flashback-59664534	1	1	1	1.0	0.0	-1						1					
z01528_flashback-4062343	1	3	3	3.0	0.0	0									3		
z01638_flashback-59138332	1	3	3	3.0	0.0	0		3									
z00305_flashback-47951675	1	3	3	3.0	0.0	0										3	
flashback-63545201	6	1	2	1.8333333333333333	0.3726779962499649	-1		2		2	2	2			1	2	
z02327_flashback-64186563	1	3	3	3.0	0.0	0							3				
z00904_flashback-54822597	1	3	3	3.0	0.0	0						3					
z00764_flashback-62936327	1	2	2	2.0	0.0	-1										2	
z02428_flashback-48341947	1	3	3	3.0	0.0	0									3		
z01076_www_aftonbladet_se_debatt_a_mjMLO_ska-vi-skicka-unga-i-doden-ministern	1	4	4	4.0	0.0	1							4				
z01365_flashback-53503850	1	2	2	2.0	0.0	-1								2			
z03917_flashback-9715886	1	2	2	2.0	0.0	-1				2							
z04036_flashback-62709224	1	2	2	2.0	0.0	-1		2									
z02595_flashback-55589651	1	1	1	1.0	0.0	-1					1						
z01476_flashback-56524490	1	2	2	2.0	0.0	-1		2									
z00952_flashback-62245997	1	3	3	3.0	0.0	0									3		
z00743_flashback-25700802	1	2	2	2.0	0.0	-1							2				
z00251_flashback-63103089	1	1	1	1.0	0.0	-1										1	
z03050_flashback-58604866	1	1	1	1.0	0.0	-1										1	
z02339_flashback-63804688	1	2	2	2.0	0.0	-1										2	
z01627_flashback-60850068	1	1	1	1.0	0.0	-1									1		
z00309_flashback-56978127	1	2	2	2.0	0.0	-1					2						
z00601_flashback-58076161	1	3	3	3.0	0.0	0									3		
z01465_flashback-43050827	1	2	2	2.0	0.0	-1									2		
z02437_www_aftonbladet_se_debatt_debattamnen_politik_article16527315_ab	1	3	3	3.0	0.0	0									3		
z01249_www_svd_se_c-driv-pa-eu-for-en-ny-flyktingpolitik	1	4	4	4.0	0.0	1									4		
z04067_flashback-49842276	1	2	2	2.0	0.0	-1		2									
z02725_flashback-57936648	1	3	3	3.0	0.0	0									3		
z03690_flashback-54988636	1	1	1	1.0	0.0	-1		1									
z02796_flashback-5945014	1	2	2	2.0	0.0	-1								2			
z02382_flashback-53501460	1	3	3	3.0	0.0	0								3			
z00606_www_aftonbladet_se_debatt_debattamnen_politik_article12112395_ab	1	5	5	5.0	0.0	1					5						
z01269_flashback-9216908	1	2	2	2.0	0.0	-1		2									
z01291_flashback-63432234	1	1	1	1.0	0.0	-1						1					
z02525_flashback-49691857	1	3	3	3.0	0.0	0							3				
z01440_flashback-51005227	1	2	2	2.0	0.0	-1		2									
z00035_www_aftonbladet_se_debatt_a_zodow_vi-valjer-hur-attacken-andrar-landet-sverige	1	3	3	3.0	0.0	0										3	
z00959_flashback-64009083	1	2	2	2.0	0.0	-1							2				
z02923_flashback-61242507	1	1	1	1.0	0.0	-1									1		
z00045_flashback-51474959	1	1	1	1.0	0.0	-1		1									
z00186_flashback-63001404	1	3	3	3.0	0.0	0								3			
z03534_www_svd_se_forskare-overge-fns-flyktingkonvention	1	4	4	4.0	0.0	1								4			
z02835_www_svd_se_sverige-kan-paverka-antalet-asylsokande	1	3	3	3.0	0.0	0		3									
z00112_www_aftonbladet_se_debatt_article22827043_ab	1	4	4	4.0	0.0	1						4					
z00589_flashback-5035285	1	3	3	3.0	0.0	0						3					
z00089_www_svd_se_rasismen-motverkar-chans-till-integration	1	4	4	4.0	0.0	1										4	
z00447_flashback-40850969	1	1	1	1.0	0.0	-1								1			
z02622_flashback-59246631	1	3	3	3.0	0.0	0					3						
z02401_flashback-50532249	1	4	4	4.0	0.0	1									4		
z02019_www_aftonbladet_se_debatt_article23114121_ab	1	4	4	4.0	0.0	1					4						
z03612_flashback-331919	1	3	3	3.0	0.0	0					3						
z00943_flashback-53115222	1	2	2	2.0	0.0	-1									2		
z01473_flashback-63625230	1	2	2	2.0	0.0	-1								2			
z03819_flashback-56328978	1	2	2	2.0	0.0	-1					2						
z02071_flashback-49065389	1	3	3	3.0	0.0	0			3								
z02514_flashback-54883701	1	2	2	2.0	0.0	-1					2						
z02453_flashback-63761798	1	2	2	2.0	0.0	-1							2				
z00990_flashback-58630073	1	2	2	2.0	0.0	-1		2									
z01778_www_svd_se_bestam-asylsokandes-alder-vid-ankomsten	1	3	3	3.0	0.0	0							3				
z01346_flashback-63972699	1	2	2	2.0	0.0	-1							2				
z03378_flashback-12875845	1	4	4	4.0	0.0	1					4						
z00238_flashback-55423908	1	3	3	3.0	0.0	0						3					
z00825_www_svd_se_sa-ska-varden-klara-flyktingstrommen	1	3	3	3.0	0.0	0								3			
z03682_flashback-43552008	1	1	1	1.0	0.0	-1			1								
z00448_flashback-3165018	1	1	1	1.0	0.0	-1									1		
z00705_flashback-59874520	1	2	2	2.0	0.0	-1					2						
z00039_www_aftonbladet_se_debatt_article10409293_ab	1	3	3	3.0	0.0	0					3						
z01853_flashback-61946140	1	2	2	2.0	0.0	-1										2	
z00030_flashback-41394202	1	3	3	3.0	0.0	0					3						
z03971_flashback-60021565	1	3	3	3.0	0.0	0				3							
z03672_flashback-62261546	1	2	2	2.0	0.0	-1		2									
z00125_flashback-54723650	1	1	1	1.0	0.0	-1										1	
z00629_flashback-59195987	1	2	2	2.0	0.0	-1										2	
z01770_flashback-61674200	1	2	2	2.0	0.0	-1								2			
z03765_flashback-56365373	1	2	2	2.0	0.0	-1					2						
z01320_flashback-51186465	1	4	4	4.0	0.0	1								4			
z00673_flashback-54621108	1	3	3	3.0	0.0	0									3		
z00066_www_aftonbladet_se_debatt_a_bKzeK5_de-nyanlanda-vet-inte-hur-sverige-fungerar	1	3	3	3.0	0.0	0					3						
z00539_flashback-60829563	1	2	2	2.0	0.0	-1										2	
z00360_flashback-54998324	1	3	3	3.0	0.0	0		3									
z04081_flashback-52163441	1	3	3	3.0	0.0	0		3									
z03905_flashback-38571435	1	3	3	3.0	0.0	0										3	
z00918_www_svd_se_fortsatt-oppet-sverige-kraver-att-fler-jobbar	1	4	4	4.0	0.0	1		4									
z00835_flashback-54930928	1	2	2	2.0	0.0	-1									2		
z02618_www_svd_se_frustrerande-lang-vag-till-nytt-liv-i-sverige	1	4	4	4.0	0.0	1										4	
z00347_flashback-58371657	1	1	1	1.0	0.0	-1							1				
z01457_flashback-38920148	1	3	3	3.0	0.0	0										3	
z02631_flashback-58197849	1	2	2	2.0	0.0	-1					2						
z03112_flashback-46230365	1	3	3	3.0	0.0	0									3		
z01718_flashback-12592737	1	3	3	3.0	0.0	0										3	
z00464_flashback-43872264	1	2	2	2.0	0.0	-1							2				
z01680_flashback-61045633	1	2	2	2.0	0.0	-1								2			
z00264_flashback-58342805	1	2	2	2.0	0.0	-1					2						
z01832_flashback-60007837	1	3	3	3.0	0.0	0							3				
z03939_www_aftonbladet_se_debatt_article11240863_ab	1	4	4	4.0	0.0	1								4			
z00979_flashback-31386143	1	1	1	1.0	0.0	-1									1		
z01702_flashback-45315840	1	4	4	4.0	0.0	1			4								
z01987_flashback-55245237	1	3	3	3.0	0.0	0									3		
z03480_flashback-63887148	1	2	2	2.0	0.0	-1								2			
z00067_flashback-49375943	1	2	2	2.0	0.0	-1						2					
z00573_www_aftonbladet_se_debatt_a_WM1Rd_hur-mycket-lidande-klarar-ni-politiker	1	4	4	4.0	0.0	1								4			
z00356_www_svd_se_vad-ar-det-for-fel-pa-svensk-forskning	1	2	2	2.0	0.0	-1							2				
z03438_flashback-1717895	1	3	3	3.0	0.0	0		3									
z02978_flashback-38373890	1	2	2	2.0	0.0	-1										2	
z01633_flashback-9896920	1	3	3	3.0	0.0	0						3					
z01040_flashback-55110492	1	3	3	3.0	0.0	0							3				
flashback-30677203	8	2	3	2.25	0.4330127018922193	-1		2	3	2	2	3	2		2	2	
z00500_flashback-61140231	1	2	2	2.0	0.0	-1							2				
z00849_flashback-58829094	1	1	1	1.0	0.0	-1					1						
z02609_www_aftonbladet_se_debatt_a_VEVq1_mp-barnen-som-kom-hit-maste-fa-stanna	1	4	4	4.0	0.0	1										4	
z02022_www_aftonbladet_se_debatt_arbetsmarknad_article20481743_ab	1	4	4	4.0	0.0	1								4			
z03275_flashback-4369495	1	2	2	2.0	0.0	-1										2	
z04012_flashback-61630520	1	2	2	2.0	0.0	-1		2									
z00093_flashback-63461569	1	3	3	3.0	0.0	0					3						
z01176_flashback-60921259	1	2	2	2.0	0.0	-1								2			
z01699_flashback-51313553	1	2	2	2.0	0.0	-1									2		
z00085_flashback-55602594	1	3	3	3.0	0.0	0						3					
z03953_flashback-43987307	1	2	2	2.0	0.0	-1				2							
z03067_flashback-51394219	1	3	3	3.0	0.0	0									3		
z03166_flashback-31224687	1	1	1	1.0	0.0	-1									1		
z01042_flashback-60507475	1	2	2	2.0	0.0	-1									2		
z02065_www_svd_se_forenklat-att-kalla-avslag-orattvisa	1	3	3	3.0	0.0	0						3					
z00214_flashback-54590525	1	1	1	1.0	0.0	-1									1		
z00106_flashback-54504385	1	5	5	5.0	0.0	1									5		
z01498_flashback-57649331	1	3	3	3.0	0.0	0						3					
z02825_www_aftonbladet_se_debatt_debattamnen_eu_article21301406_ab	1	5	5	5.0	0.0	1										5	
z02745_flashback-63377813	1	1	1	1.0	0.0	-1		1									
www_aftonbladet_se_debatt_a_L030aQ_darfor-ar-burkaforbud-bade-dumt-och-farligt	8	2	4	3.5	0.7071067811865476	1	4	3		2	3	4	4	4		4	true
z02581_flashback-54656497	1	3	3	3.0	0.0	0									3		
z03751_flashback-59717077	1	3	3	3.0	0.0	0									3		
z02665_flashback-54953222	1	3	3	3.0	0.0	0			3								
z00504_flashback-38488021	1	2	2	2.0	0.0	-1		2									
z00745_flashback-60726334	1	3	3	3.0	0.0	0									3		
z00207_flashback-35847237	1	1	1	1.0	0.0	-1		1									
z03237_www_aftonbladet_se_debatt_article10245533_ab	1	4	4	4.0	0.0	1								4			
z00843_flashback-62944496	1	3	3	3.0	0.0	0								3			
z00744_flashback-13150632	1	2	2	2.0	0.0	-1								2			
z03815_www_aftonbladet_se_debatt_lottagroning_article11892327_ab	1	4	4	4.0	0.0	1										4	
z02847_flashback-61356114	1	2	2	2.0	0.0	-1					2						
z00016_flashback-36394833	1	1	1	1.0	0.0	-1									1		
z02748_flashback-53813668	1	5	5	5.0	0.0	1					5						
z00816_www_svd_se_en-ceremoni-ska-markera-medborgarskap	1	4	4	4.0	0.0	1								4			
z00126_www_svd_se_nyanlanda-bor-fa-stod-i-fem-till-sju-ar	1	4	4	4.0	0.0	1		4									
z00412_flashback-58083906	1	1	1	1.0	0.0	-1									1		
z02559_flashback-50101781	1	2	2	2.0	0.0	-1					2						
z01664_www_svd_se_markligt-och-grundlost-om-utlandska-lakare	1	4	4	4.0	0.0	1										4	
z01650_flashback-51940526	1	2	2	2.0	0.0	-1					2						
z03369_flashback-22065417	1	2	2	2.0	0.0	-1					2						
z02150_flashback-39679052	1	3	3	3.0	0.0	0										3	
z02489_flashback-63900669	1	2	2	2.0	0.0	-1							2				
z02397_www_svd_se_jurister-c-bor-saga-ja-till-lag-for-ensamkommande	1	4	4	4.0	0.0	1					4						
z00921_flashback-61243519	1	2	2	2.0	0.0	-1					2						
z01133_www_aftonbladet_se_debatt_article10322568_ab	1	5	5	5.0	0.0	1										5	
z01259_flashback-62116918	1	4	4	4.0	0.0	1										4	
z02276_flashback-61355365	1	2	2	2.0	0.0	-1										2	
www_aftonbladet_se_debatt_a_jPzWkA_vart-asylsystem-i-eu-fungerar-inte-langre	1	3	3	3.0	0.0	0	3										
z00989_flashback-12770284	1	3	3	3.0	0.0	0										3	
z02410_flashback-2334723	1	3	3	3.0	0.0	0									3		
z03581_flashback-56080663	1	3	3	3.0	0.0	0										3	
z03678_flashback-38579765	1	2	2	2.0	0.0	-1								2			
z00530_flashback-60680654	1	1	1	1.0	0.0	-1										1	
z00285_flashback-12036989	1	4	4	4.0	0.0	1								4			
z01621_flashback-54616849	1	3	3	3.0	0.0	0			3								
z00723_www_aftonbladet_se_debatt_debattamnen_politik_article19927206_ab	1	2	2	2.0	0.0	-1					2						
z03904_flashback-56565328	1	2	2	2.0	0.0	-1									2		
z00021_www_aftonbladet_se_debatt_article16285010_ab	1	3	3	3.0	0.0	0					3						
z04068_flashback-60298425	1	2	2	2.0	0.0	-1		2									
z02478_flashback-31704047	1	2	2	2.0	0.0	-1					2						
z00538_flashback-62301498	1	3	3	3.0	0.0	0									3		
z03087_flashback-45011853	1	3	3	3.0	0.0	0		3									
z03832_flashback-53048138	1	2	2	2.0	0.0	-1									2		
z01355_flashback-62698551	2	1	2	1.5	0.5	-1									1	2	
z01850_flashback-4880103	1	3	3	3.0	0.0	0							3				
z01229_flashback-2669341	1	2	2	2.0	0.0	-1							2				
z00838_flashback-63299922	1	2	2	2.0	0.0	-1			2								
z03284_flashback-9661012	1	3	3	3.0	0.0	0										3	
z00733_www_svd_se_vi-kanner-inte-igen-perssons-landskrona	1	5	5	5.0	0.0	1						5					
z01792_flashback-60965401	1	3	3	3.0	0.0	0			3								
z00134_flashback-61937903	1	1	1	1.0	0.0	-1										1	
z02107_flashback-15247839	1	3	3	3.0	0.0	0			3								
z00872_flashback-7785035	1	1	1	1.0	0.0	-1										1	
z03403_flashback-39955921	1	3	3	3.0	0.0	0			3								
z00566_flashback-29664734	1	3	3	3.0	0.0	0										3	
z01705_flashback-63543009	1	3	3	3.0	0.0	0						3					
z03283_www_aftonbladet_se_debatt_article16027698_ab	1	5	5	5.0	0.0	1									5		
z00424_flashback-60307713	1	3	3	3.0	0.0	0			3								
z03984_www_svd_se_lidingo-viktigt-att-vi-behandlar-alla-lika	1	3	3	3.0	0.0	0								3			
z00964_flashback-29782285	1	3	3	3.0	0.0	0			3								
z03675_flashback-50233657	1	1	1	1.0	0.0	-1					1						
z01285_www_aftonbladet_se_debatt_article16237331_ab	1	5	5	5.0	0.0	1									5		
z02184_www_aftonbladet_se_debatt_article22668038_ab	1	4	4	4.0	0.0	1								4			
z03192_flashback-55190963	1	3	3	3.0	0.0	0								3			
z00939_flashback-40970789	1	2	2	2.0	0.0	-1					2						
z00967_flashback-43665565	1	3	3	3.0	0.0	0						3					
z01187_flashback-59976972	1	1	1	1.0	0.0	-1										1	
z00003_flashback-3638566	1	2	2	2.0	0.0	-1					2						
z00076_flashback-52371935	1	1	1	1.0	0.0	-1						1					
z00465_flashback-20809386	1	2	2	2.0	0.0	-1								2			
z03148_www_aftonbladet_se_debatt_article21337844_ab	1	4	4	4.0	0.0	1									4		
z01932_flashback-51348725	1	2	2	2.0	0.0	-1								2			
z01218_www_aftonbladet_se_debatt_article10373241_ab	1	4	4	4.0	0.0	1					4						
z01299_flashback-61369105	1	2	2	2.0	0.0	-1					2						
z00267_flashback-46435707	1	2	2	2.0	0.0	-1								2			
z01851_flashback-64148829	1	2	2	2.0	0.0	-1								2			
z00318_flashback-59486369	1	3	3	3.0	0.0	0					3						
z03890_flashback-58570143	1	2	2	2.0	0.0	-1				2							
z01585_flashback-56274632	1	1	1	1.0	0.0	-1			1								
z00336_flashback-56293110	1	2	2	2.0	0.0	-1					2						
z02311_flashback-38013275	1	3	3	3.0	0.0	0									3		
z01535_flashback-55720674	1	3	3	3.0	0.0	0							3				
z02471_www_aftonbladet_se_debatt_debattamnen_politik_article12004332_ab	1	3	3	3.0	0.0	0							3				
z01069_www_aftonbladet_se_debatt_article10303009_ab	1	5	5	5.0	0.0	1									5		
z01642_www_aftonbladet_se_debatt_a_r7KPa_franco-ar-saker--han-blir-dodad-i-nigeria	1	4	4	4.0	0.0	1						4					
z02536_flashback-58550275	1	3	3	3.0	0.0	0									3		
z02411_flashback-10688119	1	2	2	2.0	0.0	-1										2	
z02718_flashback-55612274	1	2	2	2.0	0.0	-1		2									
z01368_flashback-53043545	1	3	3	3.0	0.0	0		3									
z03547_www_aftonbladet_se_debatt_debattamnen_politik_article14788882_ab	1	4	4	4.0	0.0	1			4								
z02914_flashback-56603504	1	2	2	2.0	0.0	-1									2		
z02892_flashback-57976377	1	2	2	2.0	0.0	-1					2						
z01360_flashback-40653846	1	2	2	2.0	0.0	-1			2								
z03246_www_svd_se_m-kraftiga-besparingar-pa-migration	1	2	2	2.0	0.0	-1								2			
flashback-40279239	1	3	3	3.0	0.0	0									3		
z00584_flashback-21555951	1	1	1	1.0	0.0	-1										1	
z02299_flashback-8678300	1	2	2	2.0	0.0	-1						2					
z01059_www_aftonbladet_se_debatt_kronikorer_karinmagnusson_article12111555_ab	1	4	4	4.0	0.0	1								4			
z00696_flashback-13386768	1	2	2	2.0	0.0	-1					2						
z00885_flashback-62258481	1	2	2	2.0	0.0	-1					2						
z00298_flashback-56296320	1	2	2	2.0	0.0	-1			2								
z02357_flashback-54466803	1	2	2	2.0	0.0	-1										2	
z03212_www_aftonbladet_se_debatt_article20902392_ab	1	4	4	4.0	0.0	1										4	
z00403_flashback-56238823	1	2	2	2.0	0.0	-1									2		
z03489_flashback-17611817	1	1	1	1.0	0.0	-1								1			
z02323_flashback-58752314	1	2	2	2.0	0.0	-1			2								
z03842_www_aftonbladet_se_debatt_article21866097_ab	1	5	5	5.0	0.0	1										5	
z01872_flashback-25950897	1	2	2	2.0	0.0	-1		2									
z02757_flashback-5843914	1	3	3	3.0	0.0	0					3						
z00224_flashback-63507980	1	1	1	1.0	0.0	-1										1	
z03702_flashback-53092536	1	2	2	2.0	0.0	-1					2						
z02961_flashback-58888904	1	1	1	1.0	0.0	-1		1									
z01813_flashback-60867393	1	3	3	3.0	0.0	0						3					
z00877_flashback-63549350	1	3	3	3.0	0.0	0						3					
z00860_flashback-44472485	1	2	2	2.0	0.0	-1							2				
z02611_flashback-61805506	6	2	3	2.1666666666666665	0.3726779962499649	-1		2	2		2			2	3	2	
z01214_flashback-7526923	1	2	2	2.0	0.0	-1										2	
z03477_flashback-60242224	1	2	2	2.0	0.0	-1					2						
z03293_www_svd_se_sa-slog-vi-hal-pa-fordomarna	1	4	4	4.0	0.0	1										4	
z01144_flashback-51302051	1	1	1	1.0	0.0	-1			1								
z00782_flashback-59867416	1	2	2	2.0	0.0	-1										2	
z02293_flashback-58474413	1	3	3	3.0	0.0	0									3		
z00341_flashback-54221166	1	1	1	1.0	0.0	-1										1	
flashback-33919885	9	1	4	2.6666666666666665	0.9428090415820634	-1		2	3	3	1	2	3	4	4	2	true
z03058_www_svd_se_sapo-behover-fa-mer-insyn-i-asylutredningar	1	3	3	3.0	0.0	0									3		
z03707_flashback-64028253	1	2	2	2.0	0.0	-1										2	
z02053_www_svd_se_eu-maste-skapa-lagliga-vagar-for-flyktingar	1	4	4	4.0	0.0	1			4								
z03463_flashback-24567516	1	3	3	3.0	0.0	0									3		
z01308_flashback-10089799	1	2	2	2.0	0.0	-1					2						
z00908_flashback-13522687	1	1	1	1.0	0.0	-1										1	
z00817_flashback-57160310	1	1	1	1.0	0.0	-1									1		
z02223_www_svd_se_stang-inte-granserna-for-syriens-flyende	1	5	5	5.0	0.0	1		5									
z02042_flashback-59284404	1	2	2	2.0	0.0	-1										2	
z03535_flashback-13783287	1	3	3	3.0	0.0	0									3		
z03363_flashback-37940888	1	1	1	1.0	0.0	-1								1			
z00532_www_aftonbladet_se_debatt_article21621265_ab	1	4	4	4.0	0.0	1			4								
z01920_flashback-41259146	1	2	2	2.0	0.0	-1					2						
z00325_flashback-63650586	1	3	3	3.0	0.0	0			3								
z02302_flashback-60113442	1	3	3	3.0	0.0	0									3		
z00208_flashback-41625571	1	3	3	3.0	0.0	0			3								
z03086_flashback-54743709	1	2	2	2.0	0.0	-1										2	
z02670_www_aftonbladet_se_debatt_article12066557_ab	1	4	4	4.0	0.0	1								4			
z02007_flashback-18289390	1	2	2	2.0	0.0	-1		2									
z01007_flashback-10546335	1	1	1	1.0	0.0	-1										1	
z01957_flashback-44940973	1	3	3	3.0	0.0	0						3					
z02050_www_svd_se_barn-maste-kunna-forenas-med-familjen	1	3	3	3.0	0.0	0									3		
flashback-30593398	8	1	3	1.625	0.6959705453537527	-1		1	3		1	2	2	2	1	1	
z01079_flashback-54900298	1	3	3	3.0	0.0	0										3	
z02154_flashback-63432368	1	2	2	2.0	0.0	-1					2						
z02409_www_svd_se_eu-har-baddat-for-tragedierna-till-havs	1	4	4	4.0	0.0	1								4			
z00702_flashback-59552651	1	2	2	2.0	0.0	-1		2									
z01878_www_svd_se_sverige-vet-inte-vad-invandringen-kostar	1	2	2	2.0	0.0	-1								2			
z00571_flashback-38267238	1	2	2	2.0	0.0	-1						2					
z00361_www_svd_se_asyl-kan-bara-ges-for-de-som-ar-i-sverige	1	3	3	3.0	0.0	0			3								
z02040_flashback-46212772	1	2	2	2.0	0.0	-1								2			
z02482_flashback-54755654	1	3	3	3.0	0.0	0									3		
z01458_flashback-54836367	1	3	3	3.0	0.0	0		3									
z02242_flashback-61001329	1	3	3	3.0	0.0	0			3								
z00914_flashback-61805473	1	1	1	1.0	0.0	-1							1				
z02520_www_aftonbladet_se_debatt_article16022419_ab	4	3	4	3.75	0.4330127018922193	1			4		4		4		3		
z00215_www_aftonbladet_se_debatt_article23273609_ab	1	3	3	3.0	0.0	0										3	
z03880_flashback-61022087	1	2	2	2.0	0.0	-1			2								
z02760_flashback-48653101	1	3	3	3.0	0.0	0								3			
z02033_flashback-32997874	1	2	2	2.0	0.0	-1										2	
z00570_flashback-62279560	1	1	1	1.0	0.0	-1					1						
z03933_flashback-63100210	1	3	3	3.0	0.0	0		3									
z01238_flashback-56430958	1	2	2	2.0	0.0	-1							2				
z01022_www_svd_se_ullenhag-lagger-ansvaret-pa-de-utestangda	1	3	3	3.0	0.0	0							3				
z03849_www_aftonbladet_se_debatt_article10681877_ab	1	3	3	3.0	0.0	0								3			
z00304_www_svd_se_halften-av-utrikes-fodda-elever-har-upplevt-rasism	1	5	5	5.0	0.0	1									5		
z00576_flashback-32745417	1	2	2	2.0	0.0	-1		2									
z01103_www_aftonbladet_se_debatt_debattamnen_samhalle_article19151718_ab	1	4	4	4.0	0.0	1							4				
z03417_flashback-313963	1	2	2	2.0	0.0	-1								2			
z00161_flashback-60865813	1	2	2	2.0	0.0	-1										2	
z02194_www_aftonbladet_se_debatt_article10921557_ab	1	3	3	3.0	0.0	0									3		
z02637_www_svd_se_regeringen-slosar-med-nyanlandas-kompetens	1	3	3	3.0	0.0	0		3									
z01170_flashback-6126206	1	1	1	1.0	0.0	-1		1									
z02068_flashback-56466348	1	3	3	3.0	0.0	0									3		
z00998_flashback-59144833	1	1	1	1.0	0.0	-1										1	
z03122_flashback-41598509	1	2	2	2.0	0.0	-1										2	
z02946_flashback-61965849	1	2	2	2.0	0.0	-1					2						
z03693_flashback-5731241	1	2	2	2.0	0.0	-1					2						
z02838_flashback-60354717	1	3	3	3.0	0.0	0					3						
z01484_www_aftonbladet_se_debatt_a_4wyk9_nya-traditioner-blir-inte-alltid-svenska	1	3	3	3.0	0.0	0										3	
www_svd_se_myter-fran-lo-hotar-jobben	4	4	5	4.25	0.4330127018922193	1						4	4	4		5	
z01510_flashback-52670114	1	1	1	1.0	0.0	-1									1		
z01819_flashback-57287460	1	2	2	2.0	0.0	-1			2								
z00491_flashback-59234793	1	3	3	3.0	0.0	0							3				
z02300_flashback-60239687	1	2	2	2.0	0.0	-1							2				
z00233_flashback-58738299	1	2	2	2.0	0.0	-1										2	
z02640_www_aftonbladet_se_debatt_article10434555_ab	1	4	4	4.0	0.0	1					4						
z01335_www_aftonbladet_se_debatt_article14117745_ab	1	4	4	4.0	0.0	1					4						
z03999_flashback-37457300	1	2	2	2.0	0.0	-1					2						
z02671_flashback-37862964	1	1	1	1.0	0.0	-1									1		
z00876_flashback-63207114	1	2	2	2.0	0.0	-1					2						
z00081_flashback-47537439	1	2	2	2.0	0.0	-1		2									
z01481_flashback-55605212	1	3	3	3.0	0.0	0							3				
z02203_www_aftonbladet_se_debatt_a_38LgP_visa-var-gransen-till-sd-gar-kinberg-batra	1	3	3	3.0	0.0	0									3		
z01862_flashback-6946724	1	3	3	3.0	0.0	0										3	
www_aftonbladet_se_debatt_a_0EvzXg_det-ar-inte-fascism-att-vaga-prata-om-problem	5	1	3	2.4	0.8	-1	3	3			3				1	2	
z02616_flashback-8337725	1	2	2	2.0	0.0	-1								2			
www_aftonbladet_se_debatt_a_7Wbgv_anstallda-far-en-trygg-anstallning-hos-oss	2	3	3	3.0	0.0	0	3								3		
z00324_flashback-19369959	1	2	2	2.0	0.0	-1		2									
